,Start,End
0,2018-08-28 22:30:55.183512,2018-08-28 22:30:55.309082
1,2018-08-28 22:30:55.425286,2018-08-28 22:30:55.539711
2,2018-08-28 22:30:55.666568,2018-08-28 22:30:55.788985
3,2018-08-28 22:30:55.905085,2018-08-28 22:30:56.033821
4,2018-08-28 22:30:56.152315,2018-08-28 22:30:56.271369
5,2018-08-28 22:30:56.390327,2018-08-28 22:30:56.506346
6,2018-08-28 22:30:56.622245,2018-08-28 22:30:56.738221
7,2018-08-28 22:30:56.855245,2018-08-28 22:30:56.970218
8,2018-08-28 22:30:57.092656,2018-08-28 22:30:57.208699
9,2018-08-28 22:30:57.331611,2018-08-28 22:30:57.445179
10,2018-08-28 22:30:57.571750,2018-08-28 22:30:57.694235
11,2018-08-28 22:30:57.810016,2018-08-28 22:30:57.925966
12,2018-08-28 22:30:58.052067,2018-08-28 22:30:58.164708
13,2018-08-28 22:30:58.297828,2018-08-28 22:30:58.417010
14,2018-08-28 22:30:58.646562,2018-08-28 22:30:58.762419
15,2018-08-28 22:30:58.878333,2018-08-28 22:30:59.000446
16,2018-08-28 22:30:59.115974,2018-08-28 22:30:59.232571
17,2018-08-28 22:30:59.351356,2018-08-28 22:30:59.472822
18,2018-08-28 22:30:59.587912,2018-08-28 22:30:59.706567
19,2018-08-28 22:30:59.822523,2018-08-28 22:30:59.938477
20,2018-08-28 22:31:00.054443,2018-08-28 22:31:00.170425
21,2018-08-28 22:31:00.289425,2018-08-28 22:31:00.410602
22,2018-08-28 22:31:00.526210,2018-08-28 22:31:00.642083
23,2018-08-28 22:31:00.760421,2018-08-28 22:31:00.873845
24,2018-08-28 22:31:00.989783,2018-08-28 22:31:01.112240
25,2018-08-28 22:31:01.228161,2018-08-28 22:31:01.348936
26,2018-08-28 22:31:01.460215,2018-08-28 22:31:01.577521
27,2018-08-28 22:31:01.692039,2018-08-28 22:31:01.824026
28,2018-08-28 22:31:01.929859,2018-08-28 22:31:02.048727
29,2018-08-28 22:31:02.161786,2018-08-28 22:31:02.277391
30,2018-08-28 22:31:02.397561,2018-08-28 22:31:02.515070
31,2018-08-28 22:31:02.630774,2018-08-28 22:31:02.746220
32,2018-08-28 22:31:02.865272,2018-08-28 22:31:02.980753
33,2018-08-28 22:31:03.096279,2018-08-28 22:31:03.215314
34,2018-08-28 22:31:03.331131,2018-08-28 22:31:03.446890
35,2018-08-28 22:31:03.563425,2018-08-28 22:31:03.681167
36,2018-08-28 22:31:04.033913,2018-08-28 22:31:04.152929
